"센터명","우편번호","주소","전담지역","전화번호","홈페이지","addr_road","addr_jibun","zip_code","sgg_name","longitude","latitude","address_type","geo_grade","geo_query","geo_attempt"
"충청남도보조기기센터","31172","충청남도 천안시 서북구 월봉로48 믿음관 1층","충청남도","1670-5529","http://www.cnat.or.kr","충남 천안시 서북구 월봉로 48","충남 천안시 서북구 쌍용동 456","31172","천안시 서북구","127.119477919956","36.7983475274385","ROAD_ADDR","A","충청남도 천안시 서북구 월봉로48 믿음관 1층","1"
"전북특별자치도보조기기센터","55046","전라북도 전주시 완산구 서원로 394, 1층 전라북도보조기기센터","전라북도","1670-5529","http://www.jbat.or.kr","전북특별자치도 전주시 완산구 서원로 394","전북특별자치도 전주시 완산구 중화산동1가 190","55046","전주시 완산구","127.136599932059","35.8148644997608","ROAD_ADDR","A","전라북도 전주시 완산구 서원로 394, 1층 전라북도보조기기센터","1"
"전라남도보조기기센터","57997","전라남도 순천시 제일대학길17(덕월동)","전라남도","1670-5529","http://www.jnat.or.kr","전남광주통합특별시 순천시 제일대학길 17","전남광주통합특별시 순천시 덕월동 535","57997","순천시","127.48517292624","34.9337880446778","ROAD_ADDR","A","전라남도 순천시 제일대학길17(덕월동)","1"
"경상북도보조기기센터","38453","경상북도 경산시 진량읍 대구대로 201 점자도서관 1층 1103호","경상북도","1670-5529","http://gbatc.daegu.ac.kr","경북 경산시 진량읍 대구대로 201","경북 경산시 진량읍 내리리 15","38453","경산시","128.842813264293","35.904538973767","ROAD_ADDR","A","경상북도 경산시 진량읍 대구대로 201 점자도서관 1층 1103호","1"
"제주특별자치도보조기기센터","63311","제주특별자치도 제주시 아봉로 433, 제주시각장애인복지관 2층","제주도","1670-5529","http://www.jejuat.or.kr","제주특별자치도 제주시 아봉로 433","제주특별자치도 제주시 월평동 420-1","63311","제주시","126.581262560973","33.4710096855659","ROAD_ADDR","A","제주특별자치도 제주시 아봉로 433, 제주시각장애인복지관 2층","1"
"강원특별자치도보조기기센터","24227","강원도 춘천시 충열로 142번길 24-16","강원특별자치도","1670-5529","http://www.gatc.or.kr","강원특별자치도 춘천시 충열로142번길 24-16","강원특별자치도 춘천시 우두동 291-2","24227","춘천시","127.741217684568","37.9037284956277","ROAD_ADDR","A","강원도 춘천시 충열로 142번길 24-16","1"
"서울시동남보조기기센터","05235","서울특별시 강동구 고덕로 201","서울 동남 권역","02-440-5891","http://www.seoulats.or.kr","서울 강동구 고덕로 201","서울 강동구 고덕동 317-24","05235","강동구","127.148614460743","37.5562463533769","ROAD_ADDR","A","서울특별시 강동구 고덕로 201","1"
"서울시동북보조기기센터","01772","서울특별시 노원구 덕릉로 70 가길 96","서울 동북 권역","02-6926-6950","http://www.seoulats.or.kr","서울 노원구 덕릉로70가길 96","서울 노원구 상계동 771","01772","노원구","127.056581106092","37.6424441981726","ROAD_ADDR","A","서울특별시 노원구 덕릉로 70 가길 96","1"
"서울시서남보조기기센터","07517","서울특별시 강서구 방화대로45길 69","서울 서남 권역","070-4878-3690","http://www.seoulats.or.kr","서울 강서구 방화대로45길 69","서울 강서구 방화동 452-5","07517","강서구","126.812581012661","37.5742091401237","ROAD_ADDR","A","서울특별시 강서구 방화대로45길 69","1"
"서울시서북보조기기센터","03918","서울특별시 마포구 월드컵북로 494","서울 서북 권역","02-6070-9264","http://www.seoulats.or.kr","서울 마포구 월드컵북로 494","서울 마포구 상암동 1738","03918","마포구","126.880520296415","37.5846474329581","ROAD_ADDR","A","서울특별시 마포구 월드컵북로 494","1"
"경기도재활공학서비스연구지원센터","16639","경기도 수원시 권선구 서수원로 130 누림센터 1,2층","남부지역","031-295-7363","http://atrac.or.kr","경기 수원시 권선구 서수원로 130","경기 수원시 권선구 오목천동 677","16639","수원시 권선구","126.972958189932","37.2393798760151","ROAD_ADDR","A","경기도 수원시 권선구 서수원로 130 누림센터 1,2층","1"
"굿잡장애인자립생활센터","06240","서울특별시 강남구 테헤란로 8길 36 2층","-","02-518-2197","http://www.goodil.or.kr","서울 강남구 테헤란로8길 36","서울 강남구 역삼동 827-61","06240","강남구","127.032028764698","37.496499181425","ROAD_ADDR","A","서울특별시 강남구 테헤란로 8길 36 2층","1"
"과천시장애인복지관","13828","경기도 과천시 문원로 40","과천","02-2185-8000","http://www.happyseed.or.kr","경기 과천시 문원로 40","경기 과천시 문원동 31-3","13828","과천시","127.002091642911","37.4287700298821","ROAD_ADDR","A","경기도 과천시 문원로 40","1"
"성남시장애인종합복지관","13203","경기도 성남시 중원구 사기막골로150번길 20","성남","031-733-3322","http://www.rehab21.or.kr","경기 성남시 중원구 사기막골로150번길 20","경기 성남시 중원구 상대원동 69-1","13203","성남시 중원구","127.178872355619","37.4434246936886","ROAD_ADDR","A","경기도 성남시 중원구 사기막골로150번길 20","1"
"용인시 처인장애인복지관","17038","경기도 용인시 처인구 경안천로 318","용인","031-320-4800","http://www.heart4u.or.kr","경기 용인시 처인구 경안천로 318","경기 용인시 처인구 고림동 820-154","17038","용인시 처인구","127.219327538869","37.2594547590104","ROAD_ADDR","A","경기도 용인시 처인구 경안천로 318","1"
"양평군장애인복지관","12550","경기도 양평군 양평읍 중앙로 111번길 36-1","양평군","031-773-9080","http://www.yprehab.or.kr","경기 양평군 양평읍 중앙로111번길 36-1","경기 양평군 양평읍 공흥리 310-4","12550","양평군","127.503855582664","37.4969096457138","ROAD_ADDR","A","경기도 양평군 양평읍 중앙로 111번길 36-1","1"
"노틀담복지관 자세유지기구센터","21042","인천광역시 계양구 계양산로 35번길 12-37","인천","032-540-8988","http://www.pmac.or.kr","인천 계양구 계양산로35번길 12-37","인천 계양구 계산동 산 40","21042","계양구","126.71746122119","37.5452477292679","ROAD_ADDR","A","인천광역시 계양구 계양산로 35번길 12-37","1"
"충북장애인자립생활센터","28697","충청북도 청주시 흥덕구 수곡동 1010번지","","043-295-4244","http://www.ccil.or.kr","충북 청주시 서원구 수곡로5번길 17","충북 청주시 서원구 수곡동 1010","28697","청주시 서원구","127.473294952321","36.6137865807598","REGION_ADDR","A","충청북도 청주시 흥덕구 수곡동 1010번지","1"
"목포시장애인종합복지관","58660","전라남도 목포시 하당로205번길 12","목포","061-285-2811","http://www.mokporehab.or.kr","전남광주통합특별시 목포시 하당로205번길 12","전남광주통합특별시 목포시 상동 803-3","58660","목포시","126.41879851643","34.8089874616878","ROAD_ADDR","A","전라남도 목포시 하당로205번길 12","1"
"오치종합사회복지관","61119","광주광역시 북구 서하로 194번길 6","광주","062-263-8200","http://ochicaritas.kr/","전남광주통합특별시 북구 서하로194번길 6","전남광주통합특별시 북구 오치동 1003","61119","북구","126.900977743698","35.1854488449553","ROAD_ADDR","A","광주광역시 북구 서하로 194번길 6","1"
"우리이웃장애인자립생활센터","61122","광주광역시 북구 오치동 953-5 1층","광주","062-264-3157","http://www.necil.kr","전남광주통합특별시 북구 서하로233번길 5","전남광주통합특별시 북구 오치동 953-5","61122","북구","126.905939755261","35.187461019727","REGION_ADDR","A","광주광역시 북구 오치동 953-5 1층","1"
"제주장애인자립생활센터","63256","제주특별자치도 제주시 천수동로 30","","064-751-9100","http://jcil.or.kr","제주특별자치도 제주시 천수동로 30","제주특별자치도 제주시 일도이동 401-5","63256","제주시","126.545229670846","33.5076356069754","ROAD_ADDR","A","제주특별자치도 제주시 천수동로 30","1"
"경상남도보조기기센터","51144","경상남도 경상남도 창원시 의창구 봉곡로 97번길 85(봉곡동)","경상남도","055-237-8242","http://www.gnatc.or.kr","경남 창원시 의창구 봉곡로97번길 85","경남 창원시 의창구 봉곡동 179-1","51144","창원시 의창구","128.67894198627","35.2504389408392","ROAD_ADDR","A","경상남도 경상남도 창원시 의창구 봉곡로 97번길 85(봉곡동)","1"
